Word,Present Participle,Present Participle Alternative
discounsel,discounselling,discounseling
delevel,deleveling,delevelling
foresignal,foresignaling,foresignalling
lateral,lateralling,lateraling
new-model,new-modelling,new-modeling
midwife,midwiving,midwifing
schnorkel,schnorkelling,schnorkeling
parget,pargeting,pargetting
bayonet,bayoneting,bayonetting
leaflet,leafleting,leafletting
winge,wingeing,winging
medevac,medevacking,medevacing
wheelie,wheelying,wheelieing
regravel,regravelling,regraveling
embrothel,embrothelling,embrotheling
unfocus,unfocusing,unfocussing
overeye,overeyeing,overeying
coif,coiffing,coifing
regen,regenning,regening
outgeneral,outgeneralling,outgeneraling
caravan,caravaning,caravanning
dude,dudeing,duding
unblue,unblueing,unbluing
courtmartial,courtmartialing,courtmartialling
tablet,tableting,tabletting
depetal,depetalling,depetaling
soft-pedal,soft-pedalling,soft-pedaling
facet,faceting,facetting
cupel,cupelling,cupeling
special,specialing,specialling
redial,redialing,redialling
sac,sacking,saccing
hubbub,hubbubing,hubbubbing
misfocus,misfocusing,misfocussing
debias,debiasing,debiassing
red-pencil,red-pencilling,red-penciling
bedye,bedyeing,bedying
ochre,ochring,ochreing
dunch,dunching,dunchin
parcel out,parceling out,parcelling out
phial,phialing,phialling
hatchel,hatchelling,hatcheling
fellowship,fellowshipping,fellowshiping
tharf,thurving,tharving
detassel,detasseling,detasselling
clicket,clicketting,clicketing
telnet,telnetting,telneting
hoy,hoying,hoyin
subtotal,subtotalling,subtotaling
outtravel,outtraveling,outtravelling
ribbit,ribbiting,ribbitting
mic,micing,mic'ing
misfuel,misfuelling,misfueling
accoutre,accoutring,accoutreing
misroute,misrouting,misrouteing
dowel,dowelling,doweling
canal,canaling,canalling
betassel,betasselling,betasseling
repanel,repaneling,repanelling
deprogram,deprogramming,deprograming
apparel,appareling,apparelling
tousel,touselling,touseling
mismodel,mismodelling,mismodeling
trowel,troweling,trowelling
autofocus,autofocusing,autofocussing
birdie,birdieing,birdying
silage,silaging,silageing
disenvowel,disenvowelling,disenvoweling
slue,sluing,slueing
spue,spuing,spueing
larrup,larruping,larrupping
miscounsel,miscounselling,miscounseling
circumfer,circumfering,circumferring
outrival,outrivalling,outrivaling
victual,victualing,victualling
whemmel,whemmelling,whemmeling
DIY,DIYing,DIY-ing
curvet,curveting,curvetting
sync,synching,syncing
enqueue,enqueuing,enqueueing
panel,panelling,paneling
precounsel,precounseling,precounselling
countersignal,countersignalling,countersignaling
undevil,undeviling,undevilling
zombie out,zombying out,zombieing out
jewel,jewelling,jeweling
docquet,docqueting,docquetting
untrammel,untrammelling,untrammeling
overfocus,overfocusing,overfocussing
route,routing,routeing
shock and awe,shocking and awing,shocking and aweing
